timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1778753950,12326,0,0,12326,0,0,0,2,0,0,0,0,1
1778753951,10616,0,0,10616,0,0,0,2,0,0,0,0,1
1778753952,131,0,0,131,0,0,0,2,0,0,0,0,1
1778753953,3,0,0,3,0,0,0,1,0,0,0,0,1
1778753954,2542,0,0,2542,0,0,0,2,0,0,0,0,1
1778753982,4074,0,0,4074,0,0,0,2,0,0,0,0,1
1778753983,14760,0,0,14760,0,0,0,2,0,0,0,0,1
1778753984,9358,0,0,9358,0,0,0,2,0,0,0,0,1
1778753985,17543,0,0,17543,0,0,0,2,0,0,0,0,1
1778753986,18623,0,0,18623,0,0,0,2,0,0,0,0,1
1778753987,13416,0,0,13416,0,0,0,2,0,0,0,0,1
1778753988,18044,0,0,18044,0,0,0,2,0,0,0,0,1
1778753989,16059,0,0,16059,0,0,0,2,0,0,0,0,1
1778753990,16040,0,0,16040,0,0,0,2,0,0,0,0,1
1778753991,22109,0,0,22109,0,0,0,2,0,0,0,0,1
1778753992,12248,0,0,12248,0,0,0,2,0,0,0,0,1
1778753993,19245,0,0,19245,0,0,0,2,0,0,0,0,1
1778753994,16042,0,0,16042,0,0,0,2,0,0,0,0,1
1778753995,12983,0,0,12983,0,0,0,2,0,0,0,0,1
1778753996,7882,0,0,7882,0,0,0,2,0,0,0,0,1
1778753997,13044,0,0,13044,0,0,0,2,0,0,0,0,1
1778753998,13765,0,0,13765,0,0,0,2,0,0,0,0,1
1778753999,13689,0,0,13689,0,0,0,2,0,0,0,0,1
1778754000,13710,0,0,13710,0,0,0,2,0,0,0,0,1
1778754001,10218,0,0,10218,0,0,0,2,0,0,0,0,1
1778754002,16839,0,0,16839,0,0,0,2,0,0,0,0,1
1778754003,15195,0,0,15195,0,0,0,2,0,0,0,0,1
1778754004,15642,0,0,15642,0,0,0,2,0,0,0,0,1
1778754005,18544,0,0,18544,0,0,0,2,0,0,0,0,1
1778754006,17866,0,0,17866,0,0,0,2,0,0,0,0,1
1778754007,14972,0,0,14972,0,0,0,2,0,0,0,0,1
1778754008,5404,0,0,5404,0,0,0,2,0,0,0,0,1
1778754009,17105,0,0,17105,0,0,0,2,0,0,0,0,1
1778754010,10961,0,0,10961,0,0,0,2,0,0,0,0,1
1778754011,15622,0,0,15622,0,0,0,2,0,0,0,0,1
1778754012,16734,0,0,16734,0,0,0,2,0,0,0,0,1
1778754013,13818,0,0,13818,0,0,0,2,0,0,0,0,1
1778754014,19266,0,0,19266,0,0,0,2,0,0,0,0,1
1778754015,14737,0,0,14737,0,0,0,2,0,0,0,0,1
1778754016,17500,0,0,17500,0,0,0,2,0,0,0,0,1
1778754017,15386,0,0,15386,0,0,0,2,0,0,0,0,1
1778754018,17919,0,0,17919,0,0,0,2,0,0,0,0,1
1778754019,16658,0,0,16658,0,0,0,2,0,0,0,0,1
1778754020,21894,0,0,21894,0,0,0,2,0,0,0,0,1
1778754021,19542,0,0,19542,0,0,0,2,0,0,0,0,1
1778754022,9493,0,0,9493,0,0,0,2,0,0,0,0,1
